Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Premna latifolia Roxb. var. mucronata Clarke,Suggested source 1,Two accepted names given on basis of 2 types of Agnimantha viz.Vrhat and Ksudra,14,Agnimantha,अग्निमन्थ,Agnimantha
Premna latifolia Var. mucronata Clarke.,Accepted source,Agnimantha is identified with this species,14,Agnimantha,अग्निमन्थ,Agnimantha
Premna mucronata Roxb.,Accepted source,Agnimantha is identified with this species,14,Agnimantha,अग्निमन्थ,Agnimantha
Clerodendrum sp.,Accepted source,This is considered as another variety of Vrhat Agnimantha (without thorns),15,Agnimantha - aksura,अग्निमन्थ अक्षुर,agnimantha akṣura
Clerodendron phlomidis,Accepted source,Agnimantha is correlated to this species,16,Agnimantha - laghu,अग्निमन्थ लघु,agnimantha laghu
Premna integrifolia,Accepted source,Agnimantha is correlated to this species,17,Agnimantha - vrddha,अग्निमन्थ वॄद्ध,agnimantha vṝddha
Premna sp.,Accepted source,This is considered as another variety of Ksudra Agnimantha (without thorns),18,Agnimanthfa - ksura,अग्निमन्थ क्षुर,agnimantha kṣura
Aquilaria agallocha Roxb.,Accepted source,Aguru is identified with this species,19,Aguru,अगुरु,aguru
Papaver somnifrum Linn.,Accepted source,Ahiphena is identified with this species,20,Ahiphena,अहिफेन,ahiphena
Cassia auriculata Linn.,Accepted source,Mentioned in Raja nighantu; Its identified as 'Avartaki' which is correlated to this species,21,Ahulya,आहुल्य,āhulya
Bacopa monnieri (Linn.) Pennell.,Accepted source,Aindri is identified with this species,22,Aindri,ऐन्द्री,aindrī
Bacopa monnieri (Linn.) Pennell.,Accepted source,Aindri is identified with this species,22,Aindri,ऐन्द्री,aindrī
Podophyllum hexandra Royle,Controversial,It needs to be examined,22,Aindri,ऐन्द्री,aindrī
Citrus sp.,Controversial,Possibility of it being correlated to Airavata,23,Airavata,ऐरावत,airāvata
Citrus sp.,Controversial,Possibility of it being correlated to Airavata,328,Eravat,ऐरावत,airāvata
Grewia sp.,Controversial,In Susruta it has been identified as Grewia species,23,Airavata,ऐरावत,airāvata
Grewia sp.,Controversial,In Susruta it has been identified as Grewia species,328,Eravat,ऐरावत,airāvata
Elaeocarpus serratus Linn.,Accepted source,Is a type of Rudraksa and identified with this species,23,Airavata,ऐरावत,airāvata
Elaeocarpus serratus Linn.,Accepted source,Is a type of Rudraksa and identified with this species,328,Eravat,ऐरावत,airāvata
Acacia pennata Willd.,Accepted source,"In Kaideva nighantu, 'Airavata' has been mentioned as a variety of Khadira with 'Vallikhadira' and 'Khadiravalli' as its synonyms which portrays this as a creeper; 'Vallikhadira' is identified with this species",24,Airavati,ऐरावती,airāvatī
Saussurea gossipifolia Don.,Controversial,Needs to be studied,25,Aja,अजा,ajā
Saussuria gossypifolia Don.,Most probable,It has been mentioned under the divine drugs. With regard to its description it is one of the types of Saussurea species which is found near the Himalayas and popularly known as 'Kamala'. Most probably it is identified with this species,25,Aja,अजा,ajā
Elsholtzia cristata Willd.,Controversial,Its vernacular names point towards it as a correlation,26,Ajagandha,अजगन्धा,ajagandhā
Gynandropis pentaphylla,Accepted source,Bhavamisra had identified Ajagandha with Suvarcala which is correlated to this species,26,Ajagandha,अजगन्धा,ajagandhā
Gynandropis pentaphylla,Most probable,Tilaparni and Ajagandha are synonymous to each other but Tilaparni means ( leaves like sesamum) so there is no similarity with the morphology of the species; but Tilaparni was understood as Hulhula and correlated to this species,26,Ajagandha,अजगन्धा,ajagandhā
Gynandropsis gynandra (Linn.) Briquet.,Accepted source,It has been identified as Ajagandha but its vernacular names point towards 2 more plants,26,Ajagandha,अजगन्धा,ajagandhā
Ocimum basilicum Linn.,Controversial,Its vernacular names point towards it as a correlation,26,Ajagandha,अजगन्धा,ajagandhā
Thymus serpyllum Linn.,Most probable,"With referance to the ancient texts it can be concluded that 'Ajagandha' is different from drugs like 'Ajamoda', 'Yavani', 'Satahva' etc and it seems to be 'Vanayavani' which is most probably identified with this species; With regard to the property of this species it has similar properties like 'Ajagandha' with an exception that it is not a purgative",26,Ajagandha,अजगन्धा,ajagandhā
Cleome viscosa,Accepted source,Ajagandha is identified with this species,27,Ajagandha - pita,अजगन्धा पीत,ajagandhā pīta
Gynandropis Gynantra,Accepted source,White variety of Ajagandha is correlated to this species,28,Ajagandha - sveta,अजगन्धा श्वेत,ajagandhā śveta
Arisaema Sp.,Most probable,Ajagari' is mentioned in Susruta as a divya aushadhi (divine drug) and most probably correlated to this species,29,Ajagari,अजगरी,ajagarī
Dipterocarpus sp.,Accepted source,Ajakarna is identified with this species,30,Ajakarna,अजकर्ण,ajakarṇa
Dipterocarpus turbinatus Gaertn.f.,Accepted source,Identified with it,30,Ajakarna,अजकर्ण,ajakarṇa
Not identified,Not Identified,It is considered as the alternative source for Ajalomi and Golomi. In practice 2 varieties of durva are being used in its place. Probably an aromatic herb,31,Ajalomi,अजलोमी,ajalomī
Apium graveolens Linn.,Accepted source,Identified with it,32,Ajamoda,अजमोद,ajamoda
Carum Roxburghianum (DC) Craib.,Accepted source,It is identified with this species,32,Ajamoda,अजमोद,ajamoda
T. stictocarpum (C.B. Clake) Wolff.,Most probable,This species resembles Ajamoda except for its fruits which have more margins on them and are excessively hairy. This is most probably its cultivated variety,32,Ajamoda,अजमोद,ajamoda
Nephrodium sp.,Suggested source,Needs to be examined,33,Ajaruha,अजरुहा,ajaruhā
Gymnema sylvestre R. Br.,Accepted source,Identified with this species,34,Ajasrngi,अजश्रॄङ्गी,ajaśrṝṅgī
Anacyclus pyrethrum DC.,Accepted source,Akarakarabha is identified with this species,35,Akarakarabha,आकारकरभ,ākārakarabha
Cassytha filiformis Linn.,Most probable,Akasavalli is identified with this species,36,Akasavalli,आकाशवल्ली,ākāśavallī
Cuscuta reflexa Roxb.,Most probable,This species is widely known as Akasavalli Morphological features are similar except that it is laxative,36,Akasavalli,आकाशवल्ली,ākāśavallī
Cuscuta chinensis Lam.,Most probable,This species is a variety of Cuscuta reflexa andhas similar properties so most probably can be identified with Akasavalli,37,Akasavalli - prajati,आकाशवल्ली प्रजाति,ākāśavallī prajāti
Evolvulus nummularius Linn.,Suggested source,There are many species correlated to Akhukarni. This specieis identified with Akhukarni but it is imported to India,38,Akhukarni,आखुकर्णी,ākhukarṇī
Merremia emarginata (Burm.f.) Hallier f.,Accepted source,It is identified with this species,38,Akhukarni,आखुकर्णी,ākhukarṇī
Evolvulus nummularis Linn.,Suggested source,Akhuparnika presently is identified with this species but it needs to be studied as its not a native of our country and its features are not equivalent with the ones given in Caraka samhita,39,Akhuparnika,आखुपर्णिका,ākhuparṇikā
Merremia emarginata (Burm.f.) Hallier.f.,Suggested source,Akhuparnika presently is identified with this species but it needs to be studied as its not a native of our country and its features are not equivalent with the ones given in Caraka samhita,39,Akhuparnika,आखुपर्णिका,ākhuparṇikā
"Ctenolepis cerasiformis, Naud",Controversial,On basis of a local name in Gujarat it is correlated to the following plant,40,Aksapida,अक्षपीड,akṣapīḍa
Phaseolus lunatus Linn.,Controversial,With referance to its uses it is correlated to different plant names so the correlations remain unspecified,40,Aksapida,अक्षपीड,akṣapīḍa
Phaseolus lunatus Linn.,Most probable,"Aksipidaka' has been cited in Caraka under the Visa cikitsa (treatment for poisons); Susruta has mentioned its use in case of kustha (skin disorders); Gangadhar has inferred the word 'Aksipida' as, whose juice can be expressed and put in the eyes in case of eye disorders; But in the samhitas its nowhere been mentioned in case of eye diseases; Cakrapani has interpreted it as 'Simbi bheda' (variety of Simbi) which most probably is taken as 'Jehermaar'; It is correlated to this species",41,Aksapidaka,अक्षपीडक,akṣapīḍaka
Alangium begonifolium Harm.,Suggested source,"Based on popular names this species is suggested, which has to be examined",42,Aksikiphala,आक्षिकीफल,ākṣikīphala
Alangium begonifolium Harms.,Suggested source,"Based on popular names this species is suggested, which has to be examined",42,Aksikiphala,आक्षिकीफल,ākṣikīphala
Dillenia pentagyna Roxb. .,Suggested source,In Assam it is known as ‘Akshi’ and hence identified with it,42,Aksikiphala,आक्षिकीफल,ākṣikīphala
Euphoria longan Steud. .,Suggested source,In Bengal this species is known as ‘Aashphala’ and in Assamas ‘Naagalichi’.With regard to homophony this species is taken into consideration,42,Aksikiphala,आक्षिकीफल,ākṣikīphala
Morinda coreia Buch-Ham.,Suggested source,In the book Rasaratnasamucchaya there is a mention of ‘Aksi’ in the Rakta varga which is most probably identified with this species,42,Aksikiphala,आक्षिकीफल,ākṣikīphala
Morinda tinctoria Roxb.,Suggested source,"Based on popular names this species is suggested, which has to be examined",42,Aksikiphala,आक्षिकीफल,ākṣikīphala
Ctenilepis cerasiformis Naud.,Most probable,"Caraka has mentioned this as a drug used in Visa cikitsa (in cases of poison); Susruta has cited this as a drug used in Kustha (skin related disorders); Gangadhar states it as a drug used in eye diseases with regard to its name 'Aksipidaka' but in the Samhitas it is not mentioned as a drug used in eye diseases; With regard to this, people in Gujarat consider the widely known 'Aankhphootani' as 'Aksipidaka' as it has similar properties mentioned by Gangadhar and hence correlated to this species",43,Aksipidaka,अक्षिपीडक,akṣipīḍaka
Moringa oleifera Lam.,Accepted source,"Madhusigru was a very controversial drug in ancient times as it was interpreted with different names like 'Sigru', 'Mahanimba', 'Vasira' etc; Cakrapani interpreted it with 'Musta' or 'Sobhanjana' where as Dalhana has interpreted it with 'Mahanimba' or 'Sobhanjana'; With regard to the referance 'Sigruni' in Caraka meaning seeds of Sigru the author has considered the same and identified 'Aksiva' with this species",44,Aksiva,अक्षीव,akṣīva
Juglans regia Linn.,Accepted source,Identified with it,45,Aksota,अक्षोट,akṣoṭa
Juglans regia Linn.,Accepted source,Identified with it,45,Aksota,अक्षोट,akṣoṭa
Biophytum sensitivum (Linn.) DC.,Controversial,It has to be identified correctly but some correlate it to this species itself,46,Alambusa,अलम्बुषा,alambuṣā
Sphaeranthus indicus Linn.,Accepted source,Alambusa is correlated to this species,46,Alambusa,अलम्बुषा,alambuṣā
Calotropis gigantea (Linn.) R.Br.ex Ait.,Most probable,Usually correlated to the bigger and white flowered variety of this plant,47,Alarka,अलर्क,alarka
Vigna cylindrica Skeels,Accepted source,Identified with it,48,Alasandra,अलसान्द्र,alasāndra
Lagenaria siceraria (Mol.) Standl.,Accepted source,Identified with it,49,Alavu,अलावु,alāvu
Lagenaria siceraria Standl.,Accepted source,Identified with it,49,Alavu,अलावु,alāvu
Dioscorea sp.,Accepted source,The root tubers and bulbils of its varoius species are used as food articles by the tribal people,50,Aluka,आलुक,āluka
Solanum tuberosum Linn.,Accepted source,Identified with this species,50,Aluka,आलुक,āluka
Dioscorea alata Linn.,Accepted source,Identified with this species,51,Aluka - bheda,आलुक भेद,āluka bheda
Dioscorea bulbifera Linn.,Most probable,Its most probably identified with regard to its morphology,51,Aluka - bheda,आलुक भेद,āluka bheda
Dioscorea deltoidea Wall.,Accepted source,Identified with this species,51,Aluka - bheda,आलुक भेद,āluka bheda
Dioscorea esculanta Burkill.,Accepted source,Identified with this species,51,Aluka - bheda,आलुक भेद,āluka bheda
Dioscorea glabra Roxb.,Most probable,Its most probably identified with regard to its morphology,51,Aluka - bheda,आलुक भेद,āluka bheda
Dioscorea hispida Dennst.,Most probable,Its most probably identified with regard to its morphology,51,Aluka - bheda,आलुक भेद,āluka bheda
Dioscorea species.,Accepted source,Identified with this species,51,Aluka - bheda,आलुक भेद,āluka bheda
Colocasia esculenta (Linn.) Schott.,Accepted source,Identified with it,52,Aluki,आलुकी,ālukī
Emblica officinalis Gaertn.,Accepted source,Identified with it,53,Amala,अमल,amla
Emblica officinalis Gaertn.,Accepted source,Identified with it,53,Amala,अमल,amla
Emblica officinalis Gaertn.,Accepted source,Identified with it,53,Amala,अमल,amla
Emblica officinalis Gaertn.,Accepted source,Identified with it,54,Amalaka,आमलक,āmalaka
Emblica officinalis Gaertn.,Accepted source,Identified with it,54,Amalaka,आमलक,āmalaka
Emblica officinalis Gaertn.,Accepted source,Identified with it,54,Amalaka,आमलक,āmalaka
Emblica officinalis Gaertn.,Accepted source,Identified with it,55,Amalaki,आमलकी,āmalakī
Emblica officinalis Gaertn.,Accepted source,Identified with it,55,Amalaki,आमलकी,āmalakī
Emblica officinalis Gaertn.,Accepted source,Identified with it,55,Amalaki,आमलकी,āmalakī
Cascuta reflexa Roxle.,Accepted source,Amaravela is not mentioned in the Brhatrayis; It is identified with this species,56,Amaravela,अमरवेल,amaravela
Cassyatha filiformis Linn.,Accepted source,Amaravela is not mentioned in the Brhatrayis; It is identified with this species,56,Amaravela,अमरवेल,amaravela
Psidium guajava Linn.,Accepted source,Identified with this species,57,Amaruda,आमरुद,āmaruda
Hibiscus cannabinus Linn.,Controversial,Ambastha' has been mentioned in Caraka; With regard to its popularity there were a group of drugs mentioned under its name in Susruta samhita; Cakrapani has identified it has 'Pathabheda' where as Dalhana as 'Kakamaci'; But both of them can be ruled out as have different rasa (taste) when compared to 'Ambastha'; During the medieval period its identity was controversial and it was considered as a synonym of many drugs having amla rasa; So it was identified with this species; But there is a doubt regarding this as 'Ambastha' mentioned in Samhitas was having kasaya rasa; Needs to be studied further,58,Ambastha,अम्बष्ठा,ambaṣṭhā
Quercus infectoria Oliv.,Accepted source,It is identified with this species,58,Ambastha,अम्बष्ठा,ambaṣṭhā
Hibiscus cannabinus Linn.,Controversial,Ambastha' has been mentioned in Caraka; With regard to its popularity there were a group of drugs mentioned under its name in Susruta samhita; Cakrapani has identified it has 'Pathabheda' where as Dalhana as 'Kakamaci'; But both of them can be ruled out as have different rasa (taste) when compared to 'Ambastha'; During the medieval period its identity was controversial and it was considered as a synonym of many drugs having amla rasa; So it was identified with this species; But there is a doubt regarding this as 'Ambastha' mentioned in Samhitas was having kasaya rasa; Needs to be studied further,58,Ambastha,अम्बष्ठा,ambaṣṭhā
Quercus infectoria Oliv.,Accepted source,It is identified with this species,58,Ambastha,अम्बष्ठा,ambaṣṭhā
Hibiscus cannabinus Linn.,Controversial,This drug needs to be examined as there is a confusion regarding 2 names which are synonyms of each other and are also mentioned under 2 different group of drugs in the ancient texts.,59,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī
Quercus sp.,Controversial,With referance to etymology of the drug this plant is taken into consideration,59,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī
Tamarix sp.,Controversial,With referance to etymology of the drug this plant is taken into consideration,59,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī
Hibiscus cannabinus Linn.,Controversial,This drug needs to be examined as there is a confusion regarding 2 names which are synonyms of each other and are also mentioned under 2 different group of drugs in the ancient texts.,59,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī
Quercus sp.,Controversial,With referance to etymology of the drug this plant is taken into consideration,59,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī
Tamarix sp.,Controversial,With referance to etymology of the drug this plant is taken into consideration,59,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī
Amorphophallus bulbifer Blume.,Accepted source,With regard to the synonyms given to 'Amlaparni' it is identified with this species,60,Amlaparni,अम्लपर्णी,amlaparṇī
Rheum emodi Wall.,Accepted source,Amlaparni is identified with this species,60,Amlaparni,अम्लपर्णी,amlaparṇī
Vitis trifolia Linn.,Suggested source,Thakur Balwant Singh suggested this species to be as Amlaparni,60,Amlaparni,अम्लपर्णी,amlaparṇī
Rhapontic Rhubarb,Market source,It is one of the 3 varieties available in the market. It is Originally from Russia but now cultivated in India.This species is a variety of R.rhaponticum,61,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī
Rheum moorcroftianum Royle,Market source,This is a variety of R.emodi found in Himachal Pradesh The roots are sold in the market as Amlaparni,61,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī
Rheum nobile Hook. f. & Thomas,Market source,This is a variety of R.emodi found in Himachal Pradesh The roots are sold in the market as Amlaparni,61,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī
Rheum officinale Baill.,Market source,Amlaparni is obtained from this species found in China,61,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī
Rheum palmatum Linn.,Market source,Amlaparni is obtained from this species found in China,61,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī
Rheum rhaponticum Linn.,Market source,It is one of the 3 varieties available in the market Originally from Russia but now cultivated in India,61,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī
Rheum spiciforma Royle,Market source,This is a variety of R.emodi found in Himachal Pradesh The roots are sold in the market as Amlaparni,61,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī
Rheum webbianum Royle,Market source,This is a variety of R.emodi found in Himachal Pradesh The roots are sold in the market as Amlaparni,61,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī
Citrus sp.,Most probable,This has often been used together with Matulunga which is a citrus fruit and hence correlated,62,Amlavetasa,अम्लवेतस,amlavetasa
Garcinia pedunculata Roxb.,Accepted source,Identified with it,62,Amlavetasa,अम्लवेतस,amlavetasa
Garcinia pedunculata Roxb.,Accepted source,In Gujarat this species is used as Amlavetasa and can be taken into consideration with regard to its properties which is similar as mentioned in the texts,62,Amlavetasa,अम्लवेतस,amlavetasa
Garcinia pedunculata Roxb.,Accepted source,Amlavetasa is identified with this species,62,Amlavetasa,अम्लवेतस,amlavetasa
Garcinia pedunculata Roxb.,Most probable,The fruit of Garcinia pedunculata is used as Amlavetasa in Bengal and Assam,62,Amlavetasa,अम्लवेतस,amlavetasa
Garcinia pedunculata Roxb.,Suggested source,Ancient samhitas have mentioned 'Amlavetasa' under the 'Amlavarga' (group of sour) and 'Phalavarga' (group of fruits) which resembles the 'Vetasa' tree whose fruits are sour; It has properties where in it has the ability to dissolve almost anything; With regard to the above properties they have suggested to use this species and use its fruits as 'Amlavetasa',62,Amlavetasa,अम्लवेतस,amlavetasa
Garcinia sp.,Accepted source,Identified with this species,62,Amlavetasa,अम्लवेतस,amlavetasa
Garcinia xanthochymous Hook.,Suggested source,Ancient samhitas have mentioned 'Amlavetasa' under the 'Amlavarga' (group of sour) and 'Phalavarga' (group of fruits) which resembles the 'Vetasa' tree whose fruits are sour; It has properties where in it has the ability to dissolve almost anything; With regard to the above properties they have suggested to use Garcinia pedunculata and use its fruits as 'Amlavetasa'; This species is a sub type of the prior and is prevelent in Puri as 'Amlavetasa',62,Amlavetasa,अम्लवेतस,amlavetasa
Rheum emodi,Market source,Twigs of Rheum are sold in the market as Amlavetasa,62,Amlavetasa,अम्लवेतस,amlavetasa
Rheum emodi Wall ex Meissn.,Market source,This species is being used as 'Amlavetasa' in the markets,62,Amlavetasa,अम्लवेतस,amlavetasa
Rheum sp.,Substituted source,The tradional use of Rheum stalks may be allowed to continue as a substitue for it.,62,Amlavetasa,अम्लवेतस,amlavetasa
Dioscorea oppositifolia.,Suggested source,This species is suggested by Vaidya Bapalal with regard to it being a tuber as mentioned by commentators,63,Amlika,अम्लिका,amlikā
Rheum emodi Wall ex Meissn.,Suggested source,Rheum modi is suggested as a correlation for 'Amlika' which is popularly known as 'Revandacini',63,Amlika,अम्लिका,amlikā
Tamarindus indica Linn.,Accepted source,Identified with it,63,Amlika,अम्लिका,amlikā
Tamarindus indica Linn.,Accepted source,Identified with it,63,Amlika,अम्लिका,amlikā
Tamarindus indica Linn.,Accepted source,Amlika' is mentioned under the Phala varga (group of fruits) in Caraka samhita; Cakrapani has interpreted this as 'Tintidi'; Its popularly known as 'Imli' in Hindi and identified with this species,63,Amlika,अम्लिका,amlikā
Mangifera indica Linn.,Accepted source,Identified with it,64,Amra,आम्र,āmra
Mangifera indica Linn.,Accepted source,Identified with it,64,Amra,आम्र,āmra
Mangifera indica Linn.,Accepted source,Identified with it,64,Amra,आम्र,āmra
Curcuma amada Roxb.,Accepted source,Identified with this species,65,Amragandhi haridra,आम्रगन्धिहरिद्रा,āmragandhiharidrā
Spondias pinnata Kurz.,Accepted source,Identified with it,66,Amrata,आम्रात,āmrāta
Spondias pinnata (Linn.f.),Accepted source,Identified with it,67,Amrataka,आम्रातक,āmrātaka
Vitis latifolia Roxb.,Most probable,Amrtasrava' literally means plants having Amrta (water) in them; It is a creeper similar tp 'Paniyavalli' which has water in them; It has been cited in Raja nighantu and most probably identified with this species,68,Amrtasrava,अमृतस्रवा,amṛtasravā
Desmodium gangeticum DC.,Accepted source,Amsumati is correlated to this species,69,Amsumati,अंशुमती,aṃśumatī
Pseudarthria viscida W. and A.,Most probable,This species is used as Amsumati in Kerala,69,Amsumati,अंशुमती,aṃśumatī
Ananas comosus (Linn.) Merr.,Accepted source,Ananasa is identified with this species,70,Ananasa,अननास,ananāsa
Trichodesma indicum R. Br.,Accepted source,Andhaka' has been mentioned under the Laksmanadi varga in Sodala nighantu; Later on it has been interpreted as 'Andhahuli' which is considered as 'Adhapuspi'; It is identified with this species,71,Andhaka,अन्धक,andhaka
Strychnos colubrina Linn.,Suggested source,Anjanaki' is mentioned only in Susruta samhita; Dalhana has interpreted it as 'Nilini'; According to the author it is identifed with this species,72,Anjanaki,अञ्जनकी,añjanakī
Hardwickia binata Roxb.,Accepted source,It is identified with this species,73,Anjanavrksa,अञ्जनवृक्ष,añjanavṛkṣa
Ceropegia bulbosa Roxb.,Most probable,Ankalodya' mentioned in Samhitas is identified with 'Makhanna'; Commentators have identified it with 'Padmabija'; During the Vaidik period it was known as 'Aandika'; Dalhana has identified it with Gilodya and the features equate with Ceropegia bulbosa hence this is the most probable correlation,74,Ankalodya,अङ्कालोड्य,aṅkāloḍya
Euryale ferox Salisb.,Accepted source,It is identified with this species,74,Ankalodya,अङ्कालोड्य,aṅkāloḍya
Alangium salvifolium (Linn.f.) Wang.,Accepted source,Identified with this species,75,Ankola,अङ्कोल,aṅkola
Alangium salvifolium (Linn.f.) Wang.,Accepted source,Identified with this species,75,Ankola,अङ्कोल,aṅkola
Alangium salvifolium (Linn.f.) Wang.,Accepted source,Identified with it,76,Ankota,अङ्कोट,aṅkoṭa
Alangium salvifolium (Linn.f.) Wang.,Accepted source,Identified with it,76,Ankota,अङ्कोट,aṅkoṭa
Claviceps purpuea Fr. Tul.,Accepted source,It is identified with this species,77,Annamaya,अन्नामय,annāmaya
Ipomoea hederacea (Linn.) Jacq.,Most probable,Correlated to this plant with referance to its action,78,Antahkotarapuspi,अन्तः कोटरपुष्पी,antaḥ koṭarapuṣpī
Ipomoea nil (Linn.) Roxb.,Accepted source,It has been mentioned just once in Caraka Samhita among the 'Phalini gana' (group of fruits) which depicts that its fruits were medicinally used; Cakrapani has intepreted it as 'Nilabughna'; With regard to its name 'Antahkotarapuspi' (flower having shape of funnel) its among the 'Trivrt group' which have similar featured plants; Its identified with this species,78,Antahkotarapuspi,अन्तः कोटरपुष्पी,antaḥ koṭarapuṣpī
